SH, 14, 2024021318,   , MIWU, 0, 146S, 1348E,  20, 1007, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Lincoln,
SH, 14, 2024021400,   , MIWU, 0, 147S, 1354E,  20, 1007, DB,
SH, 14, 2024021406,   , MIWU, 0, 148S, 1360E,  20, 1006, DB,
SH, 14, 2024021412,   , MIWU, 0, 149S, 1365E,  25, 1004, TD,
SH, 14, 2024021418,   , MIWU, 0, 149S, 1369E,  30, 1002, TD,
SH, 14, 2024021500,   , MIWU, 0, 150S, 1373E,  30, 1001, TD,
SH, 14, 2024021506,   , MIWU, 0, 152S, 1375E,  35,  999, TS,
SH, 14, 2024021512,   , MIWU, 0, 154S, 1376E,  35,  998, TS,
SH, 14, 2024021518,   , MIWU, 0, 155S, 1376E,  40,  996, TS,
SH, 14, 2024021600,   , MIWU, 0, 156S, 1375E,  45,  994, TS,
SH, 14, 2024021606,   , MIWU, 0, 158S, 1373E,  50,  992, TS,
SH, 14, 2024021612,   , MIWU, 0, 161S, 1369E,  55,  990, TS,
SH, 14, 2024021618,   , MIWU, 0, 166S, 1363E,  45,  994, TS,
SH, 14, 2024021700,   , MIWU, 0, 172S, 1354E,  35,  998, TS,
SH, 14, 2024021706,   , MIWU, 0, 178S, 1344E,  30, 1000, TD,
SH, 14, 2024021712,   , MIWU, 0, 180S, 1334E,  30, 1000, TD,
SH, 14, 2024021718,   , MIWU, 0, 181S, 1326E,  30, 1000, TD,
SH, 14, 2024021800,   , MIWU, 0, 181S, 1320E,  25, 1002, TD,
SH, 14, 2024021806,   , MIWU, 0, 183S, 1314E,  25, 1002, TD,
SH, 14, 2024021812,   , MIWU, 0, 185S, 1305E,  25, 1003, TD,
SH, 14, 2024021818,   , MIWU, 0, 185S, 1296E,  20, 1005, DB,
SH, 14, 2024021900,   , MIWU, 0, 183S, 1290E,  20, 1006, DB,
SH, 14, 2024021906,   , MIWU, 0, 182S, 1286E,  15, 1008, DB,
SH, 14, 2024021912,   , MIWU, 0, 182S, 1283E,  15, 1008, DB,
SH, 14, 2024021918,   , MIWU, 0, 181S, 1280E,  20, 1006, DB,
SH, 14, 2024022000,   , MIWU, 0, 179S, 1276E,  20, 1006, DB,
SH, 14, 2024022006,   , MIWU, 0, 176S, 1270E,  20, 1006, DB,
SH, 14, 2024022012,   , MIWU, 0, 172S, 1262E,  20, 1006, DB,
SH, 14, 2024022018,   , MIWU, 0, 166S, 1254E,  20, 1007, DB,
SH, 14, 2024022100,   , MIWU, 0, 160S, 1247E,  20, 1007, DB,
SH, 14, 2024022106,   , MIWU, 0, 156S, 1238E,  20, 1007, DB,
SH, 14, 2024022112,   , MIWU, 0, 155S, 1227E,  20, 1007, DB,
SH, 14, 2024022118,   , MIWU, 0, 155S, 1216E,  25, 1005, TD,
SH, 14, 2024022200,   , MIWU, 0, 156S, 1204E,  25, 1004, TD,
SH, 14, 2024022206,   , MIWU, 0, 160S, 1194E,  30, 1002, TD,
SH, 14, 2024022212,   , MIWU, 0, 167S, 1181E,  35, 1000, TS,
SH, 14, 2024022218,   , MIWU, 0, 174S, 1167E,  35, 1000, TS,
SH, 14, 2024022300,   , MIWU, 0, 179S, 1149E,  30, 1002, TD,
SH, 14, 2024022306,   , MIWU, 0, 183S, 1135E,  30, 1001, TD,
SH, 14, 2024022312,   , MIWU, 0, 190S, 1129E,  35,  999, TS,
SH, 14, 2024022318,   , MIWU, 0, 198S, 1127E,  35,  999, TS,
SH, 14, 2024022400,   , MIWU, 0, 210S, 1127E,  35,  998, TS,
SH, 14, 2024022406,   , MIWU, 0, 224S, 1128E,  40,  996, TS,
SH, 14, 2024022412,   , MIWU, 0, 234S, 1131E,  30, 1000, TD,
SH, 14, 2024022418,   , MIWU, 0, 245S, 1137E,  20, 1004, DB,
SH, 14, 2024022500,   , MIWU, 0, 255S, 1140E,  15, 1006, DB,
SH, 14, 2024022506,   , MIWU, 0, 262S, 1142E,  10, 1008, DB,
