SH, 21, 2024040406,   , MIWU, 0, 109S, 1203E,  20, 1003, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Olga,
SH, 21, 2024040412,   , MIWU, 0, 113S, 1201E,  20, 1003, DB,
SH, 21, 2024040418,   , MIWU, 0, 117S, 1200E,  20, 1002, DB,
SH, 21, 2024040500,   , MIWU, 0, 120S, 1199E,  25,  999, TD,
SH, 21, 2024040506,   , MIWU, 0, 122S, 1199E,  30,  996, TD,
SH, 21, 2024040512,   , MIWU, 0, 124S, 1199E,  35,  993, TS,
SH, 21, 2024040518,   , MIWU, 0, 126S, 1200E,  40,  990, TS,
SH, 21, 2024040600,   , MIWU, 0, 127S, 1200E,  50,  985, TS,
SH, 21, 2024040606,   , MIWU, 0, 131S, 1200E,  55,  982, TS,
SH, 21, 2024040612,   , MIWU, 0, 136S, 1199E,  70,  973, TY,
SH, 21, 2024040618,   , MIWU, 0, 142S, 1197E,  90,  964, TY,
SH, 21, 2024040700,   , MIWU, 0, 146S, 1194E, 105,  955, TY,
SH, 21, 2024040706,   , MIWU, 0, 150S, 1192E, 120,  946, TY,
SH, 21, 2024040710,   , MIWU, 0, 152S, 1191E, 135,  937, ST,
SH, 21, 2024040712,   , MIWU, 0, 153S, 1190E, 130,  939, ST,
SH, 21, 2024040718,   , MIWU, 0, 157S, 1188E, 110,  951, TY,
SH, 21, 2024040800,   , MIWU, 0, 161S, 1185E,  95,  960, TY,
SH, 21, 2024040806,   , MIWU, 0, 165S, 1182E,  75,  972, TY,
SH, 21, 2024040812,   , MIWU, 0, 168S, 1180E,  60,  981, TS,
SH, 21, 2024040818,   , MIWU, 0, 170S, 1177E,  50,  987, TS,
SH, 21, 2024040900,   , MIWU, 0, 172S, 1173E,  45,  990, TS,
SH, 21, 2024040906,   , MIWU, 0, 176S, 1168E,  45,  991, TS,
SH, 21, 2024040912,   , MIWU, 0, 180S, 1164E,  40,  993, TS,
SH, 21, 2024040918,   , MIWU, 0, 184S, 1161E,  40,  993, TS,
SH, 21, 2024041000,   , MIWU, 0, 189S, 1160E,  40,  994, TS,
SH, 21, 2024041006,   , MIWU, 0, 195S, 1157E,  35,  996, TS,
SH, 21, 2024041012,   , MIWU, 0, 203S, 1152E,  30,  998, TD,
SH, 21, 2024041018,   , MIWU, 0, 210S, 1145E,  30,  998, TD,
SH, 21, 2024041100,   , MIWU, 0, 216S, 1141E,  30,  999, TD,
SH, 21, 2024041106,   , MIWU, 0, 221S, 1139E,  25, 1001, TD,
SH, 21, 2024041112,   , MIWU, 0, 225S, 1138E,  25, 1002, LO,
SH, 21, 2024041118,   , MIWU, 0, 227S, 1137E,  20, 1004, LO,
SH, 21, 2024041200,   , MIWU, 0, 229S, 1136E,  15, 1006, LO,
SH, 21, 2024041206,   , MIWU, 0, 230S, 1134E,  15, 1007, LO,
