SH, 22, 2024040906,   , MIWU, 0, 100S, 1520E,  20, 1009, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Paul,
SH, 22, 2024040912,   , MIWU, 0, 106S, 1520E,  20, 1008, DB,
SH, 22, 2024040918,   , MIWU, 0, 113S, 1520E,  25, 1006, TD,
SH, 22, 2024041000,   , MIWU, 0, 120S, 1523E,  30, 1004, TD,
SH, 22, 2024041006,   , MIWU, 0, 127S, 1530E,  35, 1002, TS,
SH, 22, 2024041012,   , MIWU, 0, 133S, 1536E,  45,  998, TS,
SH, 22, 2024041018,   , MIWU, 0, 138S, 1544E,  55,  994, TS,
SH, 22, 2024041100,   , MIWU, 0, 142S, 1551E,  60,  992, TS,
SH, 22, 2024041106,   , MIWU, 0, 145S, 1556E,  55,  994, TS,
SH, 22, 2024041112,   , MIWU, 0, 146S, 1559E,  50,  996, TS,
SH, 22, 2024041118,   , MIWU, 0, 146S, 1560E,  40, 1000, TS,
SH, 22, 2024041200,   , MIWU, 0, 145S, 1560E,  35, 1002, TS,
SH, 22, 2024041206,   , MIWU, 0, 143S, 1556E,  25, 1006, LO,
SH, 22, 2024041212,   , MIWU, 0, 140S, 1550E,  20, 1010, LO,
SH, 22, 2024041218,   , MIWU, 0, 138S, 1542E,  15, 1012, LO,
SH, 22, 2024041300,   , MIWU, 0, 138S, 1532E,  15, 1012, LO,
