SH, 23, 2024042918,   , MIWU, 0,  70S,  472E,  20, 1008, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Hidaya,
SH, 23, 2024043000,   , MIWU, 0,  72S,  467E,  20, 1008, DB,
SH, 23, 2024043006,   , MIWU, 0,  75S,  463E,  20, 1007, DB,
SH, 23, 2024043012,   , MIWU, 0,  79S,  459E,  25, 1005, TD,
SH, 23, 2024043018,   , MIWU, 0,  82S,  456E,  25, 1004, TD,
SH, 23, 2024050100,   , MIWU, 0,  85S,  455E,  30, 1002, TD,
SH, 23, 2024050106,   , MIWU, 0,  87S,  453E,  35, 1000, TS,
SH, 23, 2024050112,   , MIWU, 0,  88S,  451E,  35, 1000, TS,
SH, 23, 2024050118,   , MIWU, 0,  88S,  449E,  35, 1000, TS,
SH, 23, 2024050200,   , MIWU, 0,  88S,  447E,  40,  998, TS,
SH, 23, 2024050206,   , MIWU, 0,  89S,  444E,  45,  996, TS,
SH, 23, 2024050212,   , MIWU, 0,  89S,  441E,  50,  994, TS,
SH, 23, 2024050218,   , MIWU, 0,  88S,  437E,  65,  987, TY,
SH, 23, 2024050300,   , MIWU, 0,  87S,  432E,  75,  981, TY,
SH, 23, 2024050306,   , MIWU, 0,  84S,  426E,  75,  982, TY,
SH, 23, 2024050312,   , MIWU, 0,  82S,  420E,  70,  984, TY,
SH, 23, 2024050318,   , MIWU, 0,  81S,  414E,  60,  988, TS,
SH, 23, 2024050400,   , MIWU, 0,  81S,  406E,  65,  986, TY,
SH, 23, 2024050406,   , MIWU, 0,  80S,  396E,  60,  989, TS,
SH, 23, 2024050412,   , MIWU, 0,  80S,  385E,  30, 1007, TD,
SH, 23, 2024050418,   , MIWU, 0,  81S,  373E,  15, 1014, DB,
