SH, 24, 2024051218,   , MIWU, 0,  78S,  550E,  20, 1008, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Ialy,
SH, 24, 2024051300,   , MIWU, 0,  82S,  544E,  20, 1008, DB,
SH, 24, 2024051306,   , MIWU, 0,  86S,  539E,  20, 1008, DB,
SH, 24, 2024051312,   , MIWU, 0,  89S,  535E,  25, 1006, TD,
SH, 24, 2024051318,   , MIWU, 0,  91S,  531E,  25, 1005, TD,
SH, 24, 2024051400,   , MIWU, 0,  91S,  528E,  25, 1005, TD,
SH, 24, 2024051406,   , MIWU, 0,  90S,  527E,  25, 1005, TD,
SH, 24, 2024051412,   , MIWU, 0,  88S,  526E,  25, 1006, TD,
SH, 24, 2024051418,   , MIWU, 0,  87S,  528E,  25, 1006, TD,
SH, 24, 2024051500,   , MIWU, 0,  87S,  531E,  30, 1004, TD,
SH, 24, 2024051506,   , MIWU, 0,  88S,  534E,  35, 1002, TS,
SH, 24, 2024051512,   , MIWU, 0,  90S,  536E,  35, 1002, TS,
SH, 24, 2024051518,   , MIWU, 0,  92S,  535E,  35, 1001, TS,
SH, 24, 2024051600,   , MIWU, 0,  94S,  533E,  35, 1001, TS,
SH, 24, 2024051606,   , MIWU, 0,  96S,  529E,  40,  999, TS,
SH, 24, 2024051612,   , MIWU, 0,  97S,  525E,  40,  999, TS,
SH, 24, 2024051618,   , MIWU, 0,  97S,  520E,  40,  998, TS,
SH, 24, 2024051700,   , MIWU, 0,  95S,  516E,  45,  995, TS,
SH, 24, 2024051706,   , MIWU, 0,  91S,  511E,  45,  995, TS,
SH, 24, 2024051712,   , MIWU, 0,  87S,  503E,  40,  997, TS,
SH, 24, 2024051718,   , MIWU, 0,  83S,  497E,  40,  996, TS,
SH, 24, 2024051800,   , MIWU, 0,  81S,  491E,  40,  996, TS,
SH, 24, 2024051806,   , MIWU, 0,  80S,  484E,  45,  993, TS,
SH, 24, 2024051812,   , MIWU, 0,  80S,  477E,  50,  990, TS,
SH, 24, 2024051818,   , MIWU, 0,  79S,  470E,  55,  987, TS,
SH, 24, 2024051900,   , MIWU, 0,  78S,  464E,  55,  986, TS,
SH, 24, 2024051906,   , MIWU, 0,  76S,  458E,  60,  983, TS,
SH, 24, 2024051912,   , MIWU, 0,  74S,  453E,  60,  984, TS,
SH, 24, 2024051918,   , MIWU, 0,  72S,  448E,  55,  986, TS,
SH, 24, 2024052000,   , MIWU, 0,  68S,  444E,  55,  987, TS,
SH, 24, 2024052006,   , MIWU, 0,  64S,  441E,  55,  987, TS,
SH, 24, 2024052012,   , MIWU, 0,  61S,  437E,  60,  985, TS,
SH, 24, 2024052018,   , MIWU, 0,  58S,  433E,  60,  984, TS,
SH, 24, 2024052100,   , MIWU, 0,  55S,  428E,  65,  982, TY,
SH, 24, 2024052106,   , MIWU, 0,  51S,  423E,  70,  980, TY,
SH, 24, 2024052108,   , MIWU, 0,  49S,  422E,  75,  978, TY,
SH, 24, 2024052112,   , MIWU, 0,  47S,  420E,  75,  980, TY,
SH, 24, 2024052118,   , MIWU, 0,  42S,  420E,  60,  989, TS,
SH, 24, 2024052200,   , MIWU, 0,  37S,  420E,  45,  998, TS,
SH, 24, 2024052206,   , MIWU, 0,  32S,  421E,  30, 1004, TD,
SH, 24, 2024052212,   , MIWU, 0,  28S,  423E,  20, 1008, DB,
