WP, 02, 2024052912,   , MIWU, 0, 161N, 1134E,  20, 1004, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Maliksi,
WP, 02, 2024052918,   , MIWU, 0, 163N, 1132E,  20, 1003, DB,
WP, 02, 2024053000,   , MIWU, 0, 167N, 1130E,  25, 1001, TD,
WP, 02, 2024053006,   , MIWU, 0, 173N, 1127E,  30,  999, TD,
WP, 02, 2024053012,   , MIWU, 0, 179N, 1124E,  30,  998, TD,
WP, 02, 2024053018,   , MIWU, 0, 185N, 1124E,  35,  996, TS,
WP, 02, 2024053100,   , MIWU, 0, 193N, 1123E,  40,  994, TS,
WP, 02, 2024053106,   , MIWU, 0, 200N, 1120E,  40,  994, TS,
WP, 02, 2024053112,   , MIWU, 0, 207N, 1118E,  40,  993, TS,
WP, 02, 2024053118,   , MIWU, 0, 215N, 1118E,  40,  993, TS,
WP, 02, 2024060100,   , MIWU, 0, 224N, 1120E,  30,  997, TD,
WP, 02, 2024060106,   , MIWU, 0, 231N, 1124E,  30,  997, TD,
WP, 02, 2024060112,   , MIWU, 0, 235N, 1132E,  30,  998, TD,
WP, 02, 2024060118,   , MIWU, 0, 237N, 1144E,  25, 1000, TD,
WP, 02, 2024060200,   , MIWU, 0, 236N, 1159E,  25, 1001, TD,
WP, 02, 2024060206,   , MIWU, 0, 234N, 1175E,  25, 1001, EX,
WP, 02, 2024060212,   , MIWU, 0, 231N, 1199E,  20, 1003, EX,
WP, 02, 2024060218,   , MIWU, 0, 229N, 1223E,  20, 1002, EX,
WP, 02, 2024060300,   , MIWU, 0, 228N, 1248E,  25, 1000, EX,
WP, 02, 2024060306,   , MIWU, 0, 228N, 1274E,  30,  998, EX,
WP, 02, 2024060312,   , MIWU, 0, 229N, 1295E,  30,  998, EX,
WP, 02, 2024060318,   , MIWU, 0, 231N, 1314E,  30,  998, EX,
WP, 02, 2024060400,   , MIWU, 0, 234N, 1328E,  30,  999, EX,
WP, 02, 2024060406,   , MIWU, 0, 236N, 1343E,  30,  999, EX,
WP, 02, 2024060412,   , MIWU, 0, 237N, 1355E,  25, 1001, EX,
WP, 02, 2024060418,   , MIWU, 0, 239N, 1364E,  25, 1002, EX,
WP, 02, 2024060500,   , MIWU, 0, 242N, 1372E,  20, 1004, EX,
WP, 02, 2024060506,   , MIWU, 0, 244N, 1382E,  20, 1005, EX,
