WP, 03, 2024071218,   , MIWU, 0, 118N, 1149E,  20, 1005, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Three-W,
WP, 03, 2024071300,   , MIWU, 0, 120N, 1144E,  20, 1005, DB,
WP, 03, 2024071306,   , MIWU, 0, 124N, 1138E,  20, 1004, DB,
WP, 03, 2024071312,   , MIWU, 0, 128N, 1130E,  20, 1004, DB,
WP, 03, 2024071318,   , MIWU, 0, 130N, 1124E,  25, 1002, TD,
WP, 03, 2024071400,   , MIWU, 0, 135N, 1119E,  25, 1002, TD,
WP, 03, 2024071406,   , MIWU, 0, 142N, 1113E,  25, 1001, TD,
WP, 03, 2024071412,   , MIWU, 0, 150N, 1109E,  25, 1001, TD,
WP, 03, 2024071418,   , MIWU, 0, 157N, 1102E,  30,  999, TD,
WP, 03, 2024071500,   , MIWU, 0, 165N, 1090E,  30,  998, TD,
WP, 03, 2024071506,   , MIWU, 0, 173N, 1077E,  30,  998, TD,
WP, 03, 2024071512,   , MIWU, 0, 177N, 1064E,  20, 1002, DB,
WP, 03, 2024071518,   , MIWU, 0, 176N, 1050E,  15, 1004, DB,
WP, 03, 2024071600,   , MIWU, 0, 172N, 1035E,  15, 1005, DB,
WP, 03, 2024071606,   , MIWU, 0, 165N, 1020E,  15, 1005, DB,
WP, 03, 2024071612,   , MIWU, 0, 160N, 1006E,  15, 1005, DB,
