WP, 13, 2024090112,   , MIWU, 0, 227N, 1463E,  20, 1010, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Leepi,
WP, 13, 2024090118,   , MIWU, 0, 230N, 1463E,  20, 1010, DB,
WP, 13, 2024090200,   , MIWU, 0, 233N, 1464E,  20, 1010, DB,
WP, 13, 2024090206,   , MIWU, 0, 236N, 1465E,  20, 1009, DB,
WP, 13, 2024090212,   , MIWU, 0, 240N, 1467E,  20, 1009, DB,
WP, 13, 2024090218,   , MIWU, 0, 244N, 1470E,  25, 1007, TD,
WP, 13, 2024090300,   , MIWU, 0, 248N, 1472E,  25, 1006, TD,
WP, 13, 2024090306,   , MIWU, 0, 252N, 1474E,  25, 1006, TD,
WP, 13, 2024090312,   , MIWU, 0, 258N, 1474E,  30, 1004, TD,
WP, 13, 2024090318,   , MIWU, 0, 266N, 1473E,  30, 1003, TD,
WP, 13, 2024090400,   , MIWU, 0, 275N, 1470E,  35, 1001, TS,
WP, 13, 2024090406,   , MIWU, 0, 286N, 1467E,  35, 1001, TS,
WP, 13, 2024090412,   , MIWU, 0, 298N, 1464E,  35, 1000, TS,
WP, 13, 2024090418,   , MIWU, 0, 310N, 1461E,  35, 1000, TS,
WP, 13, 2024090500,   , MIWU, 0, 320N, 1458E,  40,  998, TS,
WP, 13, 2024090506,   , MIWU, 0, 329N, 1459E,  40,  998, TS,
WP, 13, 2024090512,   , MIWU, 0, 338N, 1463E,  45,  996, TS,
WP, 13, 2024090518,   , MIWU, 0, 348N, 1469E,  45,  995, TS,
WP, 13, 2024090600,   , MIWU, 0, 358N, 1479E,  40,  997, TS,
WP, 13, 2024090606,   , MIWU, 0, 369N, 1494E,  35,  999, TS,
WP, 13, 2024090612,   , MIWU, 0, 379N, 1512E,  30, 1001, TD,
WP, 13, 2024090618,   , MIWU, 0, 392N, 1529E,  30, 1001, TD,
WP, 13, 2024090700,   , MIWU, 0, 406N, 1548E,  30, 1000, TD,
WP, 13, 2024090706,   , MIWU, 0, 422N, 1574E,  30, 1000, EX,
WP, 13, 2024090712,   , MIWU, 0, 437N, 1606E,  35,  998, EX,
WP, 13, 2024090718,   , MIWU, 0, 454N, 1649E,  35,  997, EX,
WP, 13, 2024090800,   , MIWU, 0, 470N, 1694E,  35,  997, EX,
WP, 13, 2024090806,   , MIWU, 0, 492N, 1742E,  30,  999, EX,
WP, 13, 2024090812,   , MIWU, 0, 514N, 1792E,  25, 1001, EX,
