WP, 17, 2024091812,   , MIWU, 0, 190N, 1350E,  20, 1000, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Seventeen-W,
WP, 17, 2024091818,   , MIWU, 0, 193N, 1338E,  20, 1000, DB,
WP, 17, 2024091900,   , MIWU, 0, 196N, 1325E,  20,  999, DB,
WP, 17, 2024091906,   , MIWU, 0, 199N, 1312E,  20,  999, DB,
WP, 17, 2024091912,   , MIWU, 0, 202N, 1300E,  20,  999, DB,
WP, 17, 2024091918,   , MIWU, 0, 206N, 1288E,  25,  996, TD,
WP, 17, 2024092000,   , MIWU, 0, 212N, 1276E,  30,  993, TD,
WP, 17, 2024092006,   , MIWU, 0, 220N, 1265E,  30,  994, TD,
WP, 17, 2024092012,   , MIWU, 0, 230N, 1254E,  25,  996, TD,
WP, 17, 2024092018,   , MIWU, 0, 242N, 1242E,  25,  996, TD,
WP, 17, 2024092100,   , MIWU, 0, 253N, 1230E,  25,  997, TD,
WP, 17, 2024092106,   , MIWU, 0, 256N, 1221E,  20,  999, DB,
WP, 17, 2024092112,   , MIWU, 0, 257N, 1214E,  20, 1000, DB,
WP, 17, 2024092118,   , MIWU, 0, 255N, 1207E,  15, 1002, DB,
WP, 17, 2024092200,   , MIWU, 0, 251N, 1200E,  15, 1003, DB,
