WP, 24, 2024110206,   , MIWU, 0,  74N, 1426E,  20, 1007, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Yinxing,
WP, 24, 2024110212,   , MIWU, 0,  78N, 1413E,  20, 1007, DB,
WP, 24, 2024110218,   , MIWU, 0,  82N, 1400E,  20, 1006, DB,
WP, 24, 2024110300,   , MIWU, 0,  87N, 1388E,  25, 1004, TD,
WP, 24, 2024110306,   , MIWU, 0,  94N, 1375E,  30, 1002, TD,
WP, 24, 2024110312,   , MIWU, 0, 102N, 1361E,  35, 1000, TS,
WP, 24, 2024110318,   , MIWU, 0, 110N, 1347E,  45,  996, TS,
WP, 24, 2024110400,   , MIWU, 0, 120N, 1332E,  55,  992, TS,
WP, 24, 2024110406,   , MIWU, 0, 130N, 1316E,  65,  988, TY,
WP, 24, 2024110412,   , MIWU, 0, 141N, 1302E,  75,  983, TY,
WP, 24, 2024110418,   , MIWU, 0, 151N, 1288E,  90,  974, TY,
WP, 24, 2024110500,   , MIWU, 0, 160N, 1275E, 100,  970, TY,
WP, 24, 2024110506,   , MIWU, 0, 167N, 1264E,  95,  972, TY,
WP, 24, 2024110512,   , MIWU, 0, 172N, 1255E,  85,  976, TY,
WP, 24, 2024110518,   , MIWU, 0, 177N, 1251E,  90,  973, TY,
WP, 24, 2024110600,   , MIWU, 0, 180N, 1248E, 100,  966, TY,
WP, 24, 2024110606,   , MIWU, 0, 181N, 1244E, 105,  962, TY,
WP, 24, 2024110612,   , MIWU, 0, 182N, 1240E, 115,  954, TY,
WP, 24, 2024110618,   , MIWU, 0, 182N, 1236E, 120,  950, TY,
WP, 24, 2024110700,   , MIWU, 0, 184N, 1231E, 120,  950, TY,
WP, 24, 2024110706,   , MIWU, 0, 185N, 1224E, 130,  942, ST,
WP, 24, 2024110712,   , MIWU, 0, 185N, 1215E, 110,  958, TY,
WP, 24, 2024110718,   , MIWU, 0, 184N, 1205E,  80,  982, TY,
WP, 24, 2024110800,   , MIWU, 0, 183N, 1193E,  70,  986, TY,
WP, 24, 2024110806,   , MIWU, 0, 184N, 1181E,  75,  983, TY,
WP, 24, 2024110812,   , MIWU, 0, 185N, 1169E,  85,  977, TY,
WP, 24, 2024110818,   , MIWU, 0, 187N, 1159E,  95,  971, TY,
WP, 24, 2024110900,   , MIWU, 0, 189N, 1149E, 105,  966, TY,
WP, 24, 2024110906,   , MIWU, 0, 190N, 1140E, 110,  964, TY,
WP, 24, 2024110912,   , MIWU, 0, 191N, 1134E, 105,  967, TY,
WP, 24, 2024110918,   , MIWU, 0, 191N, 1132E, 100,  970, TY,
WP, 24, 2024111000,   , MIWU, 0, 189N, 1130E,  95,  973, TY,
WP, 24, 2024111006,   , MIWU, 0, 186N, 1128E,  85,  979, TY,
WP, 24, 2024111012,   , MIWU, 0, 182N, 1124E,  70,  988, TY,
WP, 24, 2024111018,   , MIWU, 0, 176N, 1119E,  55,  994, TS,
WP, 24, 2024111100,   , MIWU, 0, 170N, 1113E,  45,  998, TS,
WP, 24, 2024111106,   , MIWU, 0, 164N, 1107E,  40, 1000, TS,
WP, 24, 2024111112,   , MIWU, 0, 157N, 1103E,  40, 1001, TS,
WP, 24, 2024111118,   , MIWU, 0, 151N, 1100E,  35, 1003, TS,
WP, 24, 2024111200,   , MIWU, 0, 146N, 1096E,  30, 1005, TD,
WP, 24, 2024111206,   , MIWU, 0, 142N, 1092E,  25, 1007, TD,
WP, 24, 2024111212,   , MIWU, 0, 139N, 1087E,  25, 1008, TD,
WP, 24, 2024111218,   , MIWU, 0, 137N, 1080E,  20, 1010, DB,
WP, 24, 2024111300,   , MIWU, 0, 136N, 1072E,  15, 1012, DB,
