IO, 04, 2025112118,   , MIWU, 0,  55N,  988E,  20, 1010, LO, 34, NEQ,   0,   0,   0,   0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Senyar,
IO, 04, 2025112200,   , MIWU, 0,  53N,  991E,  25, 1008, LO,
IO, 04, 2025112206,   , MIWU, 0,  50N,  995E,  25, 1008, LO,
IO, 04, 2025112212,   , MIWU, 0,  49N,  999E,  25, 1008, LO,
IO, 04, 2025112218,   , MIWU, 0,  49N, 1002E,  25, 1008, TD,
IO, 04, 2025112300,   , MIWU, 0,  49N, 1004E,  30, 1006, TD,
IO, 04, 2025112306,   , MIWU, 0,  48N, 1005E,  30, 1006, TD,
IO, 04, 2025112312,   , MIWU, 0,  48N, 1004E,  30, 1006, TD,
IO, 04, 2025112318,   , MIWU, 0,  47N, 1004E,  30, 1006, TD,
IO, 04, 2025112400,   , MIWU, 0,  46N, 1004E,  30, 1006, TD,
IO, 04, 2025112406,   , MIWU, 0,  46N, 1003E,  30, 1006, TD,
IO, 04, 2025112412,   , MIWU, 0,  44N, 1002E,  35, 1004, TS,
IO, 04, 2025112418,   , MIWU, 0,  43N, 1000E,  40, 1002, TS,
IO, 04, 2025112500,   , MIWU, 0,  43N,  994E,  45,  999, TS,
IO, 04, 2025112506,   , MIWU, 0,  46N,  988E,  55,  994, TS,
IO, 04, 2025112512,   , MIWU, 0,  48N,  985E,  45,  998, TS,
IO, 04, 2025112518,   , MIWU, 0,  47N,  982E,  50,  996, TS,
IO, 04, 2025112600,   , MIWU, 0,  43N,  981E,  50,  995, TS,
IO, 04, 2025112606,   , MIWU, 0,  41N,  982E,  40, 1002, TS,
IO, 04, 2025112612,   , MIWU, 0,  39N,  986E,  30, 1006, TD,
IO, 04, 2025112618,   , MIWU, 0,  36N,  993E,  30, 1006, TD,
IO, 04, 2025112700,   , MIWU, 0,  33N, 1000E,  30, 1006, TD,
IO, 04, 2025112706,   , MIWU, 0,  31N, 1005E,  30, 1006, TD,
IO, 04, 2025112712,   , MIWU, 0,  28N, 1011E,  35, 1003, TS,
IO, 04, 2025112718,   , MIWU, 0,  27N, 1016E,  45,  997, TS,
IO, 04, 2025112800,   , MIWU, 0,  30N, 1024E,  25, 1005, TD,
IO, 04, 2025112806,   , MIWU, 0,  35N, 1034E,  30, 1002, TD,
IO, 04, 2025112812,   , MIWU, 0,  42N, 1044E,  35,  999, TS,
IO, 04, 2025112818,   , MIWU, 0,  47N, 1053E,  40,  996, TS,
IO, 04, 2025112900,   , MIWU, 0,  51N, 1062E,  35,  998, TS,
IO, 04, 2025112906,   , MIWU, 0,  52N, 1069E,  30, 1000, TD,
IO, 04, 2025112912,   , MIWU, 0,  53N, 1077E,  25, 1002, TD,
IO, 04, 2025112918,   , MIWU, 0,  56N, 1084E,  30, 1000, TD,
IO, 04, 2025113000,   , MIWU, 0,  65N, 1091E,  30, 1000, TD,
IO, 04, 2025113006,   , MIWU, 0,  75N, 1094E,  25, 1003, TD,
IO, 04, 2025113012,   , MIWU, 0,  83N, 1100E,  25, 1003, TD,
IO, 04, 2025113018,   , MIWU, 0,  87N, 1107E,  25, 1003, TD,
IO, 04, 2025120100,   , MIWU, 0,  94N, 1113E,  25, 1003, LO,
IO, 04, 2025120106,   , MIWU, 0,  96N, 1120E,  20, 1006, LO,
IO, 04, 2025120112,   , MIWU, 0, 100N, 1126E,  20, 1006, LO,
IO, 04, 2025120118,   , MIWU, 0, 105N, 1133E,  15, 1009, LO,
IO, 04, 2025120200,   , MIWU, 0, 114N, 1140E,  15, 1009, LO,
