SH, 07, 2025010600,   , MIWU, 0, 150S,  850E,  20, 1007, LO, 34, NEQ,   0,   0,   0,   0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Dikeledi,
SH, 07, 2025010606,   , MIWU, 0, 150S,  840E,  20, 1006, LO,
SH, 07, 2025010612,   , MIWU, 0, 149S,  830E,  25, 1004, LO,
SH, 07, 2025010618,   , MIWU, 0, 147S,  820E,  25, 1004, TD,
SH, 07, 2025010700,   , MIWU, 0, 143S,  810E,  30, 1002, TD,
SH, 07, 2025010706,   , MIWU, 0, 140S,  798E,  30, 1002, TD,
SH, 07, 2025010712,   , MIWU, 0, 141S,  783E,  25, 1004, TD,
SH, 07, 2025010718,   , MIWU, 0, 144S,  764E,  30, 1002, TD,
SH, 07, 2025010800,   , MIWU, 0, 148S,  744E,  30, 1002, TD,
SH, 07, 2025010806,   , MIWU, 0, 150S,  724E,  30, 1002, TD,
SH, 07, 2025010812,   , MIWU, 0, 150S,  702E,  30, 1002, TD,
SH, 07, 2025010818,   , MIWU, 0, 148S,  679E,  35, 1000, TS,
SH, 07, 2025010900,   , MIWU, 0, 145S,  656E,  40,  998, TS,
SH, 07, 2025010906,   , MIWU, 0, 142S,  636E,  40,  998, TS,
SH, 07, 2025010912,   , MIWU, 0, 139S,  616E,  45,  996, TS,
SH, 07, 2025010918,   , MIWU, 0, 138S,  599E,  45,  995, TS,
SH, 07, 2025011000,   , MIWU, 0, 138S,  585E,  50,  992, TS,
SH, 07, 2025011006,   , MIWU, 0, 138S,  570E,  50,  992, TS,
SH, 07, 2025011012,   , MIWU, 0, 137S,  554E,  55,  989, TS,
SH, 07, 2025011018,   , MIWU, 0, 134S,  539E,  60,  986, TS,
SH, 07, 2025011100,   , MIWU, 0, 130S,  526E,  65,  983, TY,
SH, 07, 2025011106,   , MIWU, 0, 127S,  514E,  75,  977, TY,
SH, 07, 2025011112,   , MIWU, 0, 126S,  502E,  85,  972, TY,
SH, 07, 2025011118,   , MIWU, 0, 128S,  489E,  70,  978, TY,
SH, 07, 2025011200,   , MIWU, 0, 131S,  475E,  60,  982, TS,
SH, 07, 2025011206,   , MIWU, 0, 134S,  461E,  65,  980, TY,
SH, 07, 2025011212,   , MIWU, 0, 138S,  449E,  60,  982, TS,
SH, 07, 2025011218,   , MIWU, 0, 142S,  437E,  60,  982, TS,
SH, 07, 2025011300,   , MIWU, 0, 145S,  426E,  70,  978, TY,
SH, 07, 2025011306,   , MIWU, 0, 148S,  415E,  80,  974, TY,
SH, 07, 2025011312,   , MIWU, 0, 151S,  405E,  90,  970, TY,
SH, 07, 2025011318,   , MIWU, 0, 155S,  400E,  70,  982, TY,
SH, 07, 2025011400,   , MIWU, 0, 161S,  400E,  55,  990, TS,
SH, 07, 2025011406,   , MIWU, 0, 167S,  399E,  50,  992, TS,
SH, 07, 2025011412,   , MIWU, 0, 176S,  398E,  50,  992, TS,
SH, 07, 2025011418,   , MIWU, 0, 188S,  398E,  55,  989, TS,
SH, 07, 2025011500,   , MIWU, 0, 202S,  402E,  60,  986, TS,
SH, 07, 2025011506,   , MIWU, 0, 218S,  409E,  70,  980, TY,
SH, 07, 2025011512,   , MIWU, 0, 240S,  416E,  80,  972, TY,
SH, 07, 2025011518,   , MIWU, 0, 258S,  423E,  90,  964, TY,
SH, 07, 2025011600,   , MIWU, 0, 274S,  434E, 105,  952, TY,
SH, 07, 2025011606,   , MIWU, 0, 291S,  450E, 105,  952, TY,
SH, 07, 2025011612,   , MIWU, 0, 306S,  467E, 100,  954, TY,
SH, 07, 2025011618,   , MIWU, 0, 318S,  491E,  85,  960, TY,
SH, 07, 2025011700,   , MIWU, 0, 328S,  519E,  70,  966, TY,
SH, 07, 2025011706,   , MIWU, 0, 337S,  549E,  60,  970, TS,
SH, 07, 2025011712,   , MIWU, 0, 343S,  579E,  50,  976, EX,
SH, 07, 2025011718,   , MIWU, 0, 349S,  614E,  50,  976, EX,
SH, 07, 2025011800,   , MIWU, 0, 353S,  650E,  45,  979, EX,
SH, 07, 2025011806,   , MIWU, 0, 354S,  695E,  40,  982, EX,
SH, 07, 2025011812,   , MIWU, 0, 354S,  741E,  35,  986, EX,
SH, 07, 2025011818,   , MIWU, 0, 353S,  772E,  30,  990, EX,
SH, 07, 2025011900,   , MIWU, 0, 351S,  792E,  25,  994, EX,
SH, 07, 2025011906,   , MIWU, 0, 349S,  810E,  25,  994, EX,
SH, 07, 2025011912,   , MIWU, 0, 348S,  826E,  30,  992, EX,
SH, 07, 2025011918,   , MIWU, 0, 346S,  838E,  30,  992, EX,
SH, 07, 2025012000,   , MIWU, 0, 342S,  846E,  25,  994, EX,
SH, 07, 2025012006,   , MIWU, 0, 338S,  850E,  25,  994, EX,
SH, 07, 2025012012,   , MIWU, 0, 334S,  852E,  20,  997, EX,
SH, 07, 2025012018,   , MIWU, 0, 330S,  851E,  20,  997, EX,
SH, 07, 2025012100,   , MIWU, 0, 325S,  845E,  20,  998, EX,
SH, 07, 2025012106,   , MIWU, 0, 319S,  834E,  15, 1000, EX,
SH, 07, 2025012112,   , MIWU, 0, 312S,  821E,  15, 1000, EX,
SH, 07, 2025012118,   , MIWU, 0, 306S,  800E,  15, 1001, EX,
SH, 07, 2025012200,   , MIWU, 0, 305S,  775E,  15, 1001, EX,
