SH, 08, 2025010718,   , MIWU, 0, 120S, 1741E,  20, 1006, LO, 34, NEQ,   0,   0,   0,   0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Pita,
SH, 08, 2025010800,   , MIWU, 0, 127S, 1751E,  20, 1006, LO,
SH, 08, 2025010806,   , MIWU, 0, 136S, 1761E,  25, 1004, LO,
SH, 08, 2025010812,   , MIWU, 0, 143S, 1772E,  25, 1004, LO,
SH, 08, 2025010818,   , MIWU, 0, 148S, 1785E,  25, 1002, TD,
SH, 08, 2025010900,   , MIWU, 0, 154S, 1800E,  25, 1002, TD,
SH, 08, 2025010906,   , MIWU, 0, 159S, 1788W,  30, 1000, TD,
SH, 08, 2025010912,   , MIWU, 0, 164S, 1775W,  30, 1000, TD,
SH, 08, 2025010918,   , MIWU, 0, 169S, 1761W,  35,  998, TS,
SH, 08, 2025011000,   , MIWU, 0, 174S, 1748W,  40,  995, TS,
SH, 08, 2025011006,   , MIWU, 0, 178S, 1734W,  45,  992, TS,
SH, 08, 2025011012,   , MIWU, 0, 184S, 1717W,  50,  990, TS,
SH, 08, 2025011018,   , MIWU, 0, 193S, 1696W,  50,  989, TS,
SH, 08, 2025011100,   , MIWU, 0, 201S, 1673W,  50,  989, TS,
SH, 08, 2025011106,   , MIWU, 0, 209S, 1649W,  45,  991, TS,
SH, 08, 2025011112,   , MIWU, 0, 215S, 1626W,  45,  991, TS,
SH, 08, 2025011118,   , MIWU, 0, 217S, 1605W,  40,  993, TS,
SH, 08, 2025011200,   , MIWU, 0, 219S, 1589W,  35,  995, TS,
SH, 08, 2025011206,   , MIWU, 0, 222S, 1574W,  35,  995, SS,
SH, 08, 2025011212,   , MIWU, 0, 224S, 1564W,  35,  995, SS,
SH, 08, 2025011218,   , MIWU, 0, 223S, 1553W,  30,  997, SD,
SH, 08, 2025011300,   , MIWU, 0, 223S, 1544W,  30,  997, SD,
SH, 08, 2025011306,   , MIWU, 0, 223S, 1537W,  30,  998, SD,
SH, 08, 2025011312,   , MIWU, 0, 225S, 1533W,  25, 1000, SD,
SH, 08, 2025011318,   , MIWU, 0, 229S, 1531W,  25, 1000, SD,
SH, 08, 2025011400,   , MIWU, 0, 233S, 1532W,  25, 1000, SD,
SH, 08, 2025011406,   , MIWU, 0, 238S, 1534W,  25, 1001, SD,
SH, 08, 2025011412,   , MIWU, 0, 244S, 1538W,  25, 1001, SD,
SH, 08, 2025011418,   , MIWU, 0, 250S, 1542W,  20, 1004, SD,
SH, 08, 2025011500,   , MIWU, 0, 256S, 1547W,  20, 1004, SD,
SH, 08, 2025011506,   , MIWU, 0, 257S, 1552W,  20, 1004, SD,
SH, 08, 2025011512,   , MIWU, 0, 255S, 1557W,  20, 1005, SD,
SH, 08, 2025011518,   , MIWU, 0, 251S, 1562W,  20, 1005, SD,
SH, 08, 2025011600,   , MIWU, 0, 246S, 1564W,  20, 1005, SD,
SH, 08, 2025011606,   , MIWU, 0, 244S, 1564W,  20, 1005, SD,
SH, 08, 2025011612,   , MIWU, 0, 241S, 1566W,  15, 1007, SD,
