SH, 11, 2025012318,   , MIWU, 0, 110S,  820E,  25, 1006, LO, 34, NEQ,   0,   0,   0,   0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Faida,
SH, 11, 2025012400,   , MIWU, 0, 111S,  818E,  25, 1006, LO,
SH, 11, 2025012406,   , MIWU, 0, 112S,  815E,  25, 1006, LO,
SH, 11, 2025012412,   , MIWU, 0, 114S,  812E,  25, 1006, LO,
SH, 11, 2025012418,   , MIWU, 0, 115S,  809E,  25, 1005, TD,
SH, 11, 2025012500,   , MIWU, 0, 116S,  806E,  25, 1005, TD,
SH, 11, 2025012506,   , MIWU, 0, 117S,  803E,  25, 1005, TD,
SH, 11, 2025012512,   , MIWU, 0, 119S,  800E,  30, 1003, TD,
SH, 11, 2025012518,   , MIWU, 0, 120S,  796E,  35, 1001, TS,
SH, 11, 2025012600,   , MIWU, 0, 121S,  790E,  35, 1001, TS,
SH, 11, 2025012606,   , MIWU, 0, 121S,  782E,  35, 1002, TS,
SH, 11, 2025012612,   , MIWU, 0, 120S,  774E,  30, 1004, LO,
SH, 11, 2025012618,   , MIWU, 0, 119S,  766E,  25, 1006, LO,
SH, 11, 2025012700,   , MIWU, 0, 119S,  760E,  25, 1006, LO,
SH, 11, 2025012706,   , MIWU, 0, 119S,  756E,  30, 1004, TD,
SH, 11, 2025012712,   , MIWU, 0, 118S,  753E,  30, 1004, TD,
SH, 11, 2025012718,   , MIWU, 0, 116S,  753E,  30, 1003, TD,
SH, 11, 2025012800,   , MIWU, 0, 116S,  754E,  30, 1003, TD,
SH, 11, 2025012806,   , MIWU, 0, 117S,  755E,  30, 1003, TD,
SH, 11, 2025012812,   , MIWU, 0, 119S,  754E,  40,  999, TS,
SH, 11, 2025012818,   , MIWU, 0, 123S,  752E,  40,  998, TS,
SH, 11, 2025012900,   , MIWU, 0, 128S,  750E,  35, 1000, TS,
SH, 11, 2025012906,   , MIWU, 0, 135S,  746E,  35, 1000, TS,
SH, 11, 2025012912,   , MIWU, 0, 143S,  740E,  30, 1002, TD,
SH, 11, 2025012918,   , MIWU, 0, 150S,  729E,  30, 1002, TD,
SH, 11, 2025013000,   , MIWU, 0, 156S,  716E,  40,  998, TS,
SH, 11, 2025013006,   , MIWU, 0, 159S,  703E,  40,  998, TS,
SH, 11, 2025013012,   , MIWU, 0, 160S,  693E,  35, 1000, TS,
SH, 11, 2025013018,   , MIWU, 0, 161S,  683E,  30, 1002, TD,
SH, 11, 2025013100,   , MIWU, 0, 161S,  672E,  30, 1002, TD,
SH, 11, 2025013106,   , MIWU, 0, 162S,  662E,  30, 1002, TD,
SH, 11, 2025013112,   , MIWU, 0, 165S,  651E,  30, 1002, TD,
SH, 11, 2025013118,   , MIWU, 0, 168S,  638E,  35, 1000, TS,
SH, 11, 2025020100,   , MIWU, 0, 168S,  627E,  35, 1000, TS,
SH, 11, 2025020106,   , MIWU, 0, 167S,  618E,  30, 1002, TD,
SH, 11, 2025020112,   , MIWU, 0, 169S,  608E,  30, 1002, TD,
SH, 11, 2025020118,   , MIWU, 0, 173S,  596E,  30, 1002, TD,
SH, 11, 2025020200,   , MIWU, 0, 178S,  583E,  30, 1003, TD,
SH, 11, 2025020206,   , MIWU, 0, 182S,  569E,  35, 1000, TS,
SH, 11, 2025020212,   , MIWU, 0, 186S,  555E,  35, 1000, TS,
SH, 11, 2025020218,   , MIWU, 0, 189S,  542E,  30, 1002, TD,
SH, 11, 2025020300,   , MIWU, 0, 189S,  532E,  30, 1002, TD,
SH, 11, 2025020306,   , MIWU, 0, 188S,  524E,  30, 1001, TD,
SH, 11, 2025020312,   , MIWU, 0, 186S,  518E,  30, 1001, TD,
SH, 11, 2025020318,   , MIWU, 0, 186S,  512E,  25, 1003, TD,
SH, 11, 2025020400,   , MIWU, 0, 187S,  507E,  25, 1003, LO,
SH, 11, 2025020406,   , MIWU, 0, 189S,  504E,  25, 1004, LO,
SH, 11, 2025020412,   , MIWU, 0, 192S,  501E,  20, 1006, LO,
SH, 11, 2025020418,   , MIWU, 0, 196S,  497E,  20, 1006, LO,
SH, 11, 2025020500,   , MIWU, 0, 200S,  493E,  15, 1008, LO,
