SH, 23, 2025022312,   , MIWU, 0, 202S,  404E,  25, 1002, LO, 34, NEQ,   0,   0,   0,   0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Honde,
SH, 23, 2025022318,   , MIWU, 0, 205S,  406E,  25, 1002, LO,
SH, 23, 2025022400,   , MIWU, 0, 210S,  405E,  25, 1002, LO,
SH, 23, 2025022406,   , MIWU, 0, 215S,  402E,  30,  998, LO,
SH, 23, 2025022412,   , MIWU, 0, 219S,  397E,  30,  998, LO,
SH, 23, 2025022418,   , MIWU, 0, 221S,  392E,  30,  996, LO,
SH, 23, 2025022500,   , MIWU, 0, 222S,  387E,  30,  996, TD,
SH, 23, 2025022506,   , MIWU, 0, 222S,  382E,  30,  995, TD,
SH, 23, 2025022512,   , MIWU, 0, 223S,  380E,  30,  995, TD,
SH, 23, 2025022518,   , MIWU, 0, 225S,  379E,  35,  992, TS,
SH, 23, 2025022600,   , MIWU, 0, 230S,  382E,  40,  989, TS,
SH, 23, 2025022606,   , MIWU, 0, 234S,  387E,  45,  986, TS,
SH, 23, 2025022612,   , MIWU, 0, 238S,  393E,  50,  982, TS,
SH, 23, 2025022618,   , MIWU, 0, 242S,  397E,  55,  978, TS,
SH, 23, 2025022700,   , MIWU, 0, 245S,  402E,  60,  974, TS,
SH, 23, 2025022706,   , MIWU, 0, 248S,  410E,  60,  972, TS,
SH, 23, 2025022712,   , MIWU, 0, 251S,  419E,  65,  968, TY,
SH, 23, 2025022718,   , MIWU, 0, 253S,  426E,  70,  964, TY,
SH, 23, 2025022800,   , MIWU, 0, 254S,  431E,  75,  960, TY,
SH, 23, 2025022806,   , MIWU, 0, 256S,  436E,  70,  962, TY,
SH, 23, 2025022812,   , MIWU, 0, 258S,  443E,  70,  962, TY,
SH, 23, 2025022818,   , MIWU, 0, 261S,  447E,  70,  962, TY,
SH, 23, 2025030100,   , MIWU, 0, 264S,  450E,  65,  965, TY,
SH, 23, 2025030106,   , MIWU, 0, 266S,  451E,  65,  965, TY,
SH, 23, 2025030112,   , MIWU, 0, 268S,  453E,  65,  966, TY,
SH, 23, 2025030118,   , MIWU, 0, 270S,  454E,  60,  969, TS,
SH, 23, 2025030200,   , MIWU, 0, 271S,  455E,  65,  967, TY,
SH, 23, 2025030206,   , MIWU, 0, 270S,  457E,  65,  968, TY,
SH, 23, 2025030212,   , MIWU, 0, 271S,  459E,  60,  972, TS,
SH, 23, 2025030218,   , MIWU, 0, 273S,  462E,  55,  976, TS,
SH, 23, 2025030300,   , MIWU, 0, 275S,  464E,  50,  979, TS,
SH, 23, 2025030306,   , MIWU, 0, 275S,  466E,  50,  979, TS,
SH, 23, 2025030312,   , MIWU, 0, 276S,  469E,  45,  982, TS,
SH, 23, 2025030318,   , MIWU, 0, 279S,  474E,  45,  982, TS,
SH, 23, 2025030400,   , MIWU, 0, 285S,  476E,  45,  984, TS,
SH, 23, 2025030406,   , MIWU, 0, 291S,  480E,  45,  984, TS,
SH, 23, 2025030412,   , MIWU, 0, 299S,  488E,  45,  984, TS,
SH, 23, 2025030418,   , MIWU, 0, 308S,  494E,  45,  984, SS,
SH, 23, 2025030500,   , MIWU, 0, 318S,  494E,  45,  984, SS,
SH, 23, 2025030506,   , MIWU, 0, 328S,  492E,  45,  983, SS,
SH, 23, 2025030512,   , MIWU, 0, 340S,  496E,  50,  981, EX,
SH, 23, 2025030518,   , MIWU, 0, 353S,  504E,  55,  978, EX,
SH, 23, 2025030600,   , MIWU, 0, 367S,  512E,  50,  980, EX,
SH, 23, 2025030606,   , MIWU, 0, 382S,  522E,  50,  980, EX,
SH, 23, 2025030612,   , MIWU, 0, 397S,  534E,  45,  984, EX,
SH, 23, 2025030618,   , MIWU, 0, 410S,  552E,  45,  986, EX,
SH, 23, 2025030700,   , MIWU, 0, 419S,  578E,  40,  990, EX,
SH, 23, 2025030706,   , MIWU, 0, 429S,  604E,  35,  994, EX,
SH, 23, 2025030712,   , MIWU, 0, 438S,  638E,  30,  998, EX,
SH, 23, 2025030718,   , MIWU, 0, 444S,  680E,  25, 1001, EX,
