SH, 27, 2025032212,   , MIWU, 0, 126S, 1165E,  20, 1009, LO, 34, NEQ,   0,   0,   0,   0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Courtney,
SH, 27, 2025032218,   , MIWU, 0, 129S, 1161E,  20, 1009, LO,
SH, 27, 2025032300,   , MIWU, 0, 135S, 1155E,  25, 1006, LO,
SH, 27, 2025032306,   , MIWU, 0, 142S, 1148E,  25, 1006, TD,
SH, 27, 2025032312,   , MIWU, 0, 148S, 1140E,  25, 1006, TD,
SH, 27, 2025032318,   , MIWU, 0, 152S, 1131E,  30, 1003, TD,
SH, 27, 2025032400,   , MIWU, 0, 155S, 1124E,  30, 1003, TD,
SH, 27, 2025032406,   , MIWU, 0, 158S, 1117E,  35, 1001, TS,
SH, 27, 2025032412,   , MIWU, 0, 160S, 1111E,  35, 1000, TS,
SH, 27, 2025032418,   , MIWU, 0, 163S, 1105E,  35, 1000, TS,
SH, 27, 2025032500,   , MIWU, 0, 166S, 1098E,  40,  998, TS,
SH, 27, 2025032506,   , MIWU, 0, 169S, 1090E,  45,  996, TS,
SH, 27, 2025032512,   , MIWU, 0, 172S, 1079E,  50,  993, TS,
SH, 27, 2025032518,   , MIWU, 0, 175S, 1067E,  55,  990, TS,
SH, 27, 2025032600,   , MIWU, 0, 177S, 1054E,  60,  987, TS,
SH, 27, 2025032606,   , MIWU, 0, 178S, 1041E,  65,  984, TY,
SH, 27, 2025032612,   , MIWU, 0, 177S, 1028E,  70,  981, TY,
SH, 27, 2025032618,   , MIWU, 0, 176S, 1017E,  75,  978, TY,
SH, 27, 2025032700,   , MIWU, 0, 173S, 1007E,  85,  972, TY,
SH, 27, 2025032706,   , MIWU, 0, 170S,  998E,  95,  966, TY,
SH, 27, 2025032712,   , MIWU, 0, 168S,  989E,  90,  968, TY,
SH, 27, 2025032718,   , MIWU, 0, 168S,  979E,  80,  972, TY,
SH, 27, 2025032800,   , MIWU, 0, 168S,  967E,  70,  976, TY,
SH, 27, 2025032806,   , MIWU, 0, 170S,  954E,  80,  970, TY,
SH, 27, 2025032812,   , MIWU, 0, 173S,  942E,  95,  961, TY,
SH, 27, 2025032818,   , MIWU, 0, 175S,  929E, 110,  952, TY,
SH, 27, 2025032900,   , MIWU, 0, 176S,  918E, 120,  944, TY,
SH, 27, 2025032906,   , MIWU, 0, 180S,  908E, 130,  936, ST,
SH, 27, 2025032909,   , MIWU, 0, 184S,  903E, 135,  932, ST,
SH, 27, 2025032912,   , MIWU, 0, 187S,  899E, 130,  930, ST,
SH, 27, 2025032918,   , MIWU, 0, 194S,  892E, 125,  933, TY,
SH, 27, 2025033000,   , MIWU, 0, 202S,  887E, 115,  940, TY,
SH, 27, 2025033006,   , MIWU, 0, 212S,  883E, 105,  948, TY,
SH, 27, 2025033012,   , MIWU, 0, 221S,  879E,  95,  956, TY,
SH, 27, 2025033018,   , MIWU, 0, 228S,  878E,  85,  962, TY,
SH, 27, 2025033100,   , MIWU, 0, 234S,  880E,  75,  968, TY,
SH, 27, 2025033106,   , MIWU, 0, 241S,  884E,  70,  971, TY,
SH, 27, 2025033112,   , MIWU, 0, 246S,  887E,  60,  978, TS,
SH, 27, 2025033118,   , MIWU, 0, 249S,  888E,  50,  986, SS,
SH, 27, 2025040100,   , MIWU, 0, 250S,  886E,  45,  990, SS,
SH, 27, 2025040106,   , MIWU, 0, 249S,  883E,  40,  993, SS,
SH, 27, 2025040112,   , MIWU, 0, 248S,  880E,  35,  996, SS,
SH, 27, 2025040118,   , MIWU, 0, 249S,  877E,  35,  996, SS,
SH, 27, 2025040200,   , MIWU, 0, 251S,  872E,  35,  996, SS,
SH, 27, 2025040206,   , MIWU, 0, 253S,  863E,  35,  996, SS,
SH, 27, 2025040212,   , MIWU, 0, 252S,  852E,  30,  999, SD,
SH, 27, 2025040218,   , MIWU, 0, 250S,  840E,  30, 1000, SD,
SH, 27, 2025040300,   , MIWU, 0, 250S,  825E,  30, 1000, SD,
SH, 27, 2025040306,   , MIWU, 0, 251S,  806E,  25, 1002, SD,
SH, 27, 2025040312,   , MIWU, 0, 255S,  787E,  20, 1004, SD,
SH, 27, 2025040318,   , MIWU, 0, 266S,  771E,  20, 1004, SD,
SH, 27, 2025040400,   , MIWU, 0, 278S,  756E,  20, 1004, EX,
SH, 27, 2025040406,   , MIWU, 0, 295S,  745E,  20, 1004, EX,
SH, 27, 2025040412,   , MIWU, 0, 312S,  745E,  15, 1006, EX,
SH, 27, 2025040418,   , MIWU, 0, 330S,  749E,  15, 1006, EX,
SH, 27, 2025040500,   , MIWU, 0, 350S,  754E,  15, 1007, EX,
SH, 27, 2025040506,   , MIWU, 0, 371S,  757E,  15, 1007, EX,
