SH, 32, 2025050806,   , MIWU, 0,  73S, 1376E,  20, 1012, LO, 34, NEQ,   0,   0,   0,   0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, ThirtyTwo-P,
SH, 32, 2025050812,   , MIWU, 0,  73S, 1374E,  20, 1012, LO,
SH, 32, 2025050818,   , MIWU, 0,  72S, 1372E,  20, 1012, LO,
SH, 32, 2025050900,   , MIWU, 0,  71S, 1371E,  25, 1010, LO,
SH, 32, 2025050906,   , MIWU, 0,  71S, 1370E,  25, 1010, TD,
SH, 32, 2025050912,   , MIWU, 0,  72S, 1368E,  25, 1010, TD,
SH, 32, 2025050918,   , MIWU, 0,  73S, 1366E,  30, 1008, TD,
SH, 32, 2025051000,   , MIWU, 0,  74S, 1365E,  30, 1008, TD,
SH, 32, 2025051006,   , MIWU, 0,  77S, 1365E,  35, 1006, TS,
SH, 32, 2025051012,   , MIWU, 0,  80S, 1369E,  35, 1006, TS,
SH, 32, 2025051018,   , MIWU, 0,  85S, 1375E,  40, 1004, TS,
SH, 32, 2025051100,   , MIWU, 0,  89S, 1380E,  40, 1004, TS,
SH, 32, 2025051106,   , MIWU, 0,  90S, 1383E,  45, 1002, TS,
SH, 32, 2025051112,   , MIWU, 0,  89S, 1384E,  45, 1002, TS,
SH, 32, 2025051118,   , MIWU, 0,  89S, 1382E,  40, 1004, TS,
SH, 32, 2025051200,   , MIWU, 0,  90S, 1379E,  30, 1008, TD,
SH, 32, 2025051206,   , MIWU, 0,  88S, 1375E,  25, 1010, LO,
SH, 32, 2025051212,   , MIWU, 0,  85S, 1371E,  20, 1012, LO,
SH, 32, 2025051218,   , MIWU, 0,  84S, 1366E,  15, 1014, LO,
SH, 32, 2025051300,   , MIWU, 0,  84S, 1360E,  15, 1014, LO,
