SH, 70, 2024081306,   , MIWU, 0,  34S,  790E,  20, 1009, DB, 34, NEQ,   0,   0,   0,   0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Unnamed,
SH, 70, 2024081312,   , MIWU, 0,  37S,  783E,  20, 1009, DB,
SH, 70, 2024081318,   , MIWU, 0,  39S,  777E,  20, 1009, DB,
SH, 70, 2024081400,   , MIWU, 0,  40S,  769E,  20, 1009, DB,
SH, 70, 2024081406,   , MIWU, 0,  41S,  761E,  25, 1007, TD,
SH, 70, 2024081412,   , MIWU, 0,  43S,  752E,  25, 1006, TD,
SH, 70, 2024081418,   , MIWU, 0,  46S,  747E,  30, 1004, TD,
SH, 70, 2024081500,   , MIWU, 0,  48S,  743E,  35, 1002, TS,
SH, 70, 2024081506,   , MIWU, 0,  50S,  743E,  35, 1002, TS,
SH, 70, 2024081512,   , MIWU, 0,  53S,  741E,  35, 1001, TS,
SH, 70, 2024081518,   , MIWU, 0,  56S,  738E,  40,  999, TS,
SH, 70, 2024081600,   , MIWU, 0,  59S,  734E,  40,  999, TS,
SH, 70, 2024081606,   , MIWU, 0,  63S,  728E,  40,  998, TS,
SH, 70, 2024081612,   , MIWU, 0,  67S,  723E,  40,  998, TS,
SH, 70, 2024081618,   , MIWU, 0,  70S,  718E,  35, 1000, TS,
SH, 70, 2024081700,   , MIWU, 0,  71S,  714E,  35, 1000, TS,
SH, 70, 2024081706,   , MIWU, 0,  70S,  709E,  30, 1002, TD,
SH, 70, 2024081712,   , MIWU, 0,  68S,  702E,  30, 1002, TD,
SH, 70, 2024081718,   , MIWU, 0,  65S,  694E,  30, 1002, TD,
SH, 70, 2024081800,   , MIWU, 0,  64S,  684E,  30, 1003, TD,
SH, 70, 2024081806,   , MIWU, 0,  63S,  676E,  30, 1003, TD,
SH, 70, 2024081812,   , MIWU, 0,  63S,  672E,  30, 1003, TD,
SH, 70, 2024081818,   , MIWU, 0,  64S,  672E,  30, 1003, TD,
SH, 70, 2024081900,   , MIWU, 0,  66S,  674E,  35, 1001, TS,
SH, 70, 2024081906,   , MIWU, 0,  69S,  678E,  40,  999, TS,
SH, 70, 2024081912,   , MIWU, 0,  73S,  683E,  35,  999, TS,
SH, 70, 2024081918,   , MIWU, 0,  77S,  688E,  35, 1000, TS,
SH, 70, 2024082000,   , MIWU, 0,  78S,  691E,  30, 1002, LO,
SH, 70, 2024082006,   , MIWU, 0,  77S,  692E,  30, 1002, LO,
SH, 70, 2024082012,   , MIWU, 0,  76S,  694E,  30, 1002, LO,
SH, 70, 2024082018,   , MIWU, 0,  75S,  695E,  30, 1002, TD,
SH, 70, 2024082100,   , MIWU, 0,  74S,  695E,  30, 1002, TD,
SH, 70, 2024082106,   , MIWU, 0,  74S,  694E,  30, 1003, TD,
SH, 70, 2024082112,   , MIWU, 0,  75S,  692E,  30, 1003, LO,
SH, 70, 2024082118,   , MIWU, 0,  77S,  689E,  25, 1005, LO,
SH, 70, 2024082200,   , MIWU, 0,  80S,  684E,  20, 1007, LO,
SH, 70, 2024082206,   , MIWU, 0,  84S,  676E,  20, 1007, LO,
SH, 70, 2024082212,   , MIWU, 0,  88S,  663E,  20, 1007, LO,
SH, 70, 2024082218,   , MIWU, 0,  92S,  648E,  25, 1005, TD,
SH, 70, 2024082300,   , MIWU, 0,  97S,  626E,  25, 1005, TD,
SH, 70, 2024082306,   , MIWU, 0, 102S,  605E,  25, 1006, TD,
SH, 70, 2024082312,   , MIWU, 0, 104S,  592E,  25, 1006, TD,
SH, 70, 2024082318,   , MIWU, 0, 103S,  580E,  20, 1008, LO,
SH, 70, 2024082400,   , MIWU, 0, 103S,  572E,  20, 1008, LO,
SH, 70, 2024082406,   , MIWU, 0, 103S,  566E,  20, 1008, LO,
SH, 70, 2024082412,   , MIWU, 0, 102S,  560E,  15, 1010, LO,
