SH, 71, 2024120518,   , MIWU, 0,  80S, 1050E,  20, 1010, LO, 34, NEQ,   0,   0,   0,   0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Unnamed,
SH, 71, 2024120600,   , MIWU, 0,  82S, 1042E,  20, 1010, LO,
SH, 71, 2024120606,   , MIWU, 0,  84S, 1035E,  25, 1008, LO,
SH, 71, 2024120612,   , MIWU, 0,  86S, 1029E,  25, 1008, LO,
SH, 71, 2024120618,   , MIWU, 0,  89S, 1022E,  25, 1008, LO,
SH, 71, 2024120700,   , MIWU, 0,  92S, 1015E,  25, 1008, LO,
SH, 71, 2024120706,   , MIWU, 0,  94S, 1007E,  30, 1006, TD,
SH, 71, 2024120712,   , MIWU, 0,  95S, 1001E,  30, 1006, TD,
SH, 71, 2024120718,   , MIWU, 0,  94S,  996E,  25, 1008, TD,
SH, 71, 2024120800,   , MIWU, 0,  94S,  992E,  25, 1008, TD,
SH, 71, 2024120806,   , MIWU, 0,  96S,  989E,  30, 1006, TD,
SH, 71, 2024120812,   , MIWU, 0,  99S,  988E,  30, 1006, TD,
SH, 71, 2024120818,   , MIWU, 0, 101S,  985E,  30, 1006, TD,
SH, 71, 2024120900,   , MIWU, 0, 102S,  981E,  35, 1004, TS,
SH, 71, 2024120906,   , MIWU, 0, 102S,  976E,  35, 1004, TS,
SH, 71, 2024120912,   , MIWU, 0, 101S,  971E,  40, 1002, TS,
SH, 71, 2024120918,   , MIWU, 0, 100S,  967E,  35, 1004, TS,
SH, 71, 2024121000,   , MIWU, 0, 100S,  965E,  30, 1006, TD,
SH, 71, 2024121006,   , MIWU, 0, 101S,  966E,  30, 1006, TD,
SH, 71, 2024121012,   , MIWU, 0, 102S,  968E,  30, 1006, TD,
SH, 71, 2024121018,   , MIWU, 0, 101S,  972E,  25, 1008, LO,
SH, 71, 2024121100,   , MIWU, 0, 103S,  976E,  25, 1008, LO,
SH, 71, 2024121106,   , MIWU, 0, 106S,  979E,  20, 1010, LO,
SH, 71, 2024121112,   , MIWU, 0, 109S,  980E,  15, 1012, LO,
SH, 71, 2024121118,   , MIWU, 0, 112S,  977E,  15, 1012, LO,
