WP, 04, 2025063012,   , MIWU, 0, 190N, 1500E,  20, 1008, LO, 34, NEQ,   0,   0,   0,   0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Mun,
WP, 04, 2025063018,   , MIWU, 0, 203N, 1494E,  25, 1006, LO,
WP, 04, 2025070100,   , MIWU, 0, 216N, 1487E,  30, 1004, TD,
WP, 04, 2025070106,   , MIWU, 0, 226N, 1483E,  30, 1004, TD,
WP, 04, 2025070112,   , MIWU, 0, 232N, 1479E,  30, 1004, TD,
WP, 04, 2025070118,   , MIWU, 0, 242N, 1475E,  35, 1002, TS,
WP, 04, 2025070200,   , MIWU, 0, 252N, 1472E,  35, 1002, TS,
WP, 04, 2025070206,   , MIWU, 0, 257N, 1468E,  35, 1002, TS,
WP, 04, 2025070212,   , MIWU, 0, 261N, 1463E,  40, 1000, TS,
WP, 04, 2025070218,   , MIWU, 0, 263N, 1458E,  50,  996, TS,
WP, 04, 2025070222,   , MIWU, 0, 264N, 1455E,  65,  987, TY,
WP, 04, 2025070300,   , MIWU, 0, 267N, 1454E,  60,  989, TS,
WP, 04, 2025070306,   , MIWU, 0, 277N, 1454E,  55,  991, TS,
WP, 04, 2025070312,   , MIWU, 0, 285N, 1453E,  55,  991, TS,
WP, 04, 2025070318,   , MIWU, 0, 291N, 1451E,  50,  993, TS,
WP, 04, 2025070400,   , MIWU, 0, 296N, 1449E,  50,  993, TS,
WP, 04, 2025070406,   , MIWU, 0, 301N, 1450E,  45,  996, TS,
WP, 04, 2025070412,   , MIWU, 0, 305N, 1453E,  45,  996, TS,
WP, 04, 2025070418,   , MIWU, 0, 308N, 1458E,  45,  996, TS,
WP, 04, 2025070500,   , MIWU, 0, 311N, 1464E,  45,  996, TS,
WP, 04, 2025070506,   , MIWU, 0, 310N, 1471E,  50,  993, TS,
WP, 04, 2025070512,   , MIWU, 0, 312N, 1478E,  50,  993, TS,
WP, 04, 2025070518,   , MIWU, 0, 317N, 1488E,  55,  990, TS,
WP, 04, 2025070600,   , MIWU, 0, 322N, 1494E,  55,  990, TS,
WP, 04, 2025070606,   , MIWU, 0, 327N, 1497E,  50,  992, TS,
WP, 04, 2025070612,   , MIWU, 0, 334N, 1497E,  50,  992, TS,
WP, 04, 2025070618,   , MIWU, 0, 342N, 1495E,  55,  990, TS,
WP, 04, 2025070700,   , MIWU, 0, 349N, 1489E,  45,  994, TS,
WP, 04, 2025070706,   , MIWU, 0, 357N, 1483E,  40,  996, LO,
WP, 04, 2025070712,   , MIWU, 0, 366N, 1480E,  35,  998, LO,
WP, 04, 2025070718,   , MIWU, 0, 376N, 1482E,  30, 1000, LO,
WP, 04, 2025070800,   , MIWU, 0, 392N, 1491E,  25, 1002, LO,
WP, 04, 2025070806,   , MIWU, 0, 408N, 1510E,  25, 1002, EX,
WP, 04, 2025070812,   , MIWU, 0, 420N, 1538E,  25, 1002, EX,
WP, 04, 2025070818,   , MIWU, 0, 435N, 1582E,  25, 1003, EX,
WP, 04, 2025070900,   , MIWU, 0, 452N, 1626E,  25, 1003, EX,
