WP, 06, 2025070918,   , MIWU, 0, 190N, 1420E,  25, 1006, LO, 34, NEQ,   0,   0,   0,   0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Nari,
WP, 06, 2025071000,   , MIWU, 0, 203N, 1424E,  25, 1006, LO,
WP, 06, 2025071006,   , MIWU, 0, 219N, 1425E,  30, 1004, LO,
WP, 06, 2025071012,   , MIWU, 0, 233N, 1422E,  30, 1004, LO,
WP, 06, 2025071018,   , MIWU, 0, 246N, 1417E,  30, 1005, TD,
WP, 06, 2025071100,   , MIWU, 0, 253N, 1406E,  30, 1005, TD,
WP, 06, 2025071106,   , MIWU, 0, 253N, 1402E,  30, 1005, TD,
WP, 06, 2025071112,   , MIWU, 0, 252N, 1402E,  30, 1004, TD,
WP, 06, 2025071118,   , MIWU, 0, 250N, 1403E,  35, 1002, TS,
WP, 06, 2025071200,   , MIWU, 0, 247N, 1406E,  35, 1002, TS,
WP, 06, 2025071206,   , MIWU, 0, 247N, 1413E,  40,  999, TS,
WP, 06, 2025071212,   , MIWU, 0, 251N, 1419E,  45,  996, TS,
WP, 06, 2025071218,   , MIWU, 0, 257N, 1425E,  45,  996, TS,
WP, 06, 2025071300,   , MIWU, 0, 265N, 1427E,  50,  992, TS,
WP, 06, 2025071306,   , MIWU, 0, 279N, 1429E,  60,  984, TS,
WP, 06, 2025071312,   , MIWU, 0, 302N, 1430E,  70,  976, TY,
WP, 06, 2025071318,   , MIWU, 0, 322N, 1427E,  70,  975, TY,
WP, 06, 2025071400,   , MIWU, 0, 342N, 1422E,  65,  978, TY,
WP, 06, 2025071406,   , MIWU, 0, 367N, 1424E,  55,  984, TS,
WP, 06, 2025071412,   , MIWU, 0, 397N, 1430E,  50,  987, EX,
WP, 06, 2025071418,   , MIWU, 0, 423N, 1438E,  45,  990, EX,
WP, 06, 2025071500,   , MIWU, 0, 453N, 1455E,  40,  993, EX,
WP, 06, 2025071506,   , MIWU, 0, 466N, 1477E,  35,  996, EX,
WP, 06, 2025071512,   , MIWU, 0, 476N, 1515E,  30,  999, EX,
WP, 06, 2025071518,   , MIWU, 0, 485N, 1555E,  25, 1002, EX,
