WP, 10, 2025072112,   , MIWU, 0, 158N, 1338E,  25, 1002, LO, 34, NEQ,   0,   0,   0,   0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Francisco,
WP, 10, 2025072118,   , MIWU, 0, 162N, 1332E,  25, 1001, LO,
WP, 10, 2025072200,   , MIWU, 0, 168N, 1326E,  25, 1001, LO,
WP, 10, 2025072206,   , MIWU, 0, 178N, 1324E,  30,  998, TD,
WP, 10, 2025072212,   , MIWU, 0, 190N, 1320E,  30,  998, TD,
WP, 10, 2025072218,   , MIWU, 0, 199N, 1312E,  30,  998, TD,
WP, 10, 2025072300,   , MIWU, 0, 209N, 1302E,  35,  995, TS,
WP, 10, 2025072306,   , MIWU, 0, 215N, 1296E,  40,  992, TS,
WP, 10, 2025072312,   , MIWU, 0, 222N, 1292E,  45,  988, TS,
WP, 10, 2025072318,   , MIWU, 0, 229N, 1286E,  45,  988, TS,
WP, 10, 2025072400,   , MIWU, 0, 240N, 1282E,  40,  990, TS,
WP, 10, 2025072406,   , MIWU, 0, 252N, 1279E,  40,  990, TS,
WP, 10, 2025072412,   , MIWU, 0, 262N, 1269E,  40,  990, LO,
WP, 10, 2025072418,   , MIWU, 0, 266N, 1255E,  35,  992, LO,
WP, 10, 2025072500,   , MIWU, 0, 267N, 1238E,  30,  994, LO,
WP, 10, 2025072506,   , MIWU, 0, 265N, 1224E,  25,  996, LO,
WP, 10, 2025072512,   , MIWU, 0, 263N, 1218E,  20,  998, LO,
WP, 10, 2025072518,   , MIWU, 0, 264N, 1212E,  20,  998, LO,
WP, 10, 2025072600,   , MIWU, 0, 266N, 1206E,  30,  994, TD,
WP, 10, 2025072606,   , MIWU, 0, 266N, 1201E,  30,  994, TD,
WP, 10, 2025072612,   , MIWU, 0, 264N, 1197E,  30,  995, TD,
WP, 10, 2025072618,   , MIWU, 0, 260N, 1195E,  25,  998, TD,
WP, 10, 2025072700,   , MIWU, 0, 258N, 1195E,  25,  998, TD,
WP, 10, 2025072706,   , MIWU, 0, 257N, 1199E,  20, 1001, LO,
WP, 10, 2025072712,   , MIWU, 0, 254N, 1205E,  20, 1001, LO,
WP, 10, 2025072718,   , MIWU, 0, 248N, 1210E,  20, 1002, LO,
WP, 10, 2025072800,   , MIWU, 0, 243N, 1216E,  15, 1005, LO,
