WP, 15, 2025080406,   , MIWU, 0, 240N, 1640E,  20, 1004, LO, 34, NEQ,   0,   0,   0,   0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Fifteen-W,
WP, 15, 2025080412,   , MIWU, 0, 246N, 1633E,  25, 1001, LO,
WP, 15, 2025080418,   , MIWU, 0, 254N, 1626E,  25, 1001, LO,
WP, 15, 2025080500,   , MIWU, 0, 261N, 1618E,  30,  998, TD,
WP, 15, 2025080506,   , MIWU, 0, 266N, 1608E,  30,  998, TD,
WP, 15, 2025080512,   , MIWU, 0, 272N, 1597E,  30,  997, TD,
WP, 15, 2025080518,   , MIWU, 0, 279N, 1589E,  30,  997, TD,
WP, 15, 2025080600,   , MIWU, 0, 286N, 1583E,  30,  997, TD,
WP, 15, 2025080606,   , MIWU, 0, 292N, 1577E,  30,  998, LO,
WP, 15, 2025080612,   , MIWU, 0, 302N, 1572E,  25, 1000, LO,
WP, 15, 2025080618,   , MIWU, 0, 312N, 1568E,  25, 1000, LO,
WP, 15, 2025080700,   , MIWU, 0, 328N, 1567E,  20, 1003, LO,
WP, 15, 2025080706,   , MIWU, 0, 344N, 1567E,  15, 1006, LO,
WP, 15, 2025080712,   , MIWU, 0, 363N, 1570E,  15, 1006, LO,
