WP, 17, 2025081618,   , MIWU, 0, 165N, 1125E,  25, 1003, LO, 34, NEQ,   0,   0,   0,   0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Seventeen-W,
WP, 17, 2025081700,   , MIWU, 0, 172N, 1114E,  25, 1003, LO,
WP, 17, 2025081706,   , MIWU, 0, 178N, 1104E,  25, 1003, LO,
WP, 17, 2025081712,   , MIWU, 0, 181N, 1095E,  25, 1002, LO,
WP, 17, 2025081718,   , MIWU, 0, 185N, 1085E,  25, 1002, TD,
WP, 17, 2025081800,   , MIWU, 0, 189N, 1081E,  25, 1002, TD,
WP, 17, 2025081806,   , MIWU, 0, 193N, 1079E,  30, 1000, TD,
WP, 17, 2025081812,   , MIWU, 0, 198N, 1078E,  30, 1000, TD,
WP, 17, 2025081818,   , MIWU, 0, 207N, 1076E,  30, 1000, TD,
WP, 17, 2025081900,   , MIWU, 0, 217N, 1073E,  25, 1002, TD,
WP, 17, 2025081906,   , MIWU, 0, 228N, 1071E,  25, 1002, LO,
WP, 17, 2025081912,   , MIWU, 0, 240N, 1066E,  20, 1004, LO,
WP, 17, 2025081918,   , MIWU, 0, 254N, 1060E,  15, 1006, LO,
