WP, 19, 2025082012,   , MIWU, 0, 140N, 1300E,  20, 1004, LO, 34, NEQ,   0,   0,   0,   0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Kajiki,
WP, 19, 2025082018,   , MIWU, 0, 146N, 1284E,  20, 1004, LO,
WP, 19, 2025082100,   , MIWU, 0, 152N, 1269E,  25, 1002, LO,
WP, 19, 2025082106,   , MIWU, 0, 155N, 1255E,  25, 1002, LO,
WP, 19, 2025082112,   , MIWU, 0, 158N, 1244E,  30, 1000, TD,
WP, 19, 2025082118,   , MIWU, 0, 160N, 1234E,  35,  998, TS,
WP, 19, 2025082200,   , MIWU, 0, 162N, 1222E,  40,  996, TS,
WP, 19, 2025082206,   , MIWU, 0, 166N, 1208E,  30, 1000, TD,
WP, 19, 2025082212,   , MIWU, 0, 170N, 1195E,  30,  999, TD,
WP, 19, 2025082218,   , MIWU, 0, 174N, 1183E,  35,  996, TS,
WP, 19, 2025082300,   , MIWU, 0, 175N, 1168E,  40,  993, TS,
WP, 19, 2025082306,   , MIWU, 0, 176N, 1152E,  50,  987, TS,
WP, 19, 2025082312,   , MIWU, 0, 175N, 1137E,  60,  981, TS,
WP, 19, 2025082318,   , MIWU, 0, 172N, 1121E,  70,  975, TY,
WP, 19, 2025082400,   , MIWU, 0, 172N, 1110E,  80,  968, TY,
WP, 19, 2025082406,   , MIWU, 0, 175N, 1103E,  90,  962, TY,
WP, 19, 2025082410,   , MIWU, 0, 179N, 1097E, 105,  954, TY,
WP, 19, 2025082412,   , MIWU, 0, 180N, 1094E, 100,  957, TY,
WP, 19, 2025082418,   , MIWU, 0, 182N, 1083E,  90,  963, TY,
WP, 19, 2025082500,   , MIWU, 0, 183N, 1073E,  80,  969, TY,
WP, 19, 2025082506,   , MIWU, 0, 183N, 1064E,  85,  967, TY,
WP, 19, 2025082512,   , MIWU, 0, 184N, 1057E,  70,  976, TY,
WP, 19, 2025082518,   , MIWU, 0, 188N, 1050E,  40,  994, TS,
WP, 19, 2025082600,   , MIWU, 0, 191N, 1042E,  30, 1000, TD,
WP, 19, 2025082606,   , MIWU, 0, 192N, 1030E,  25, 1002, TD,
WP, 19, 2025082612,   , MIWU, 0, 192N, 1017E,  20, 1004, LO,
WP, 19, 2025082618,   , MIWU, 0, 194N, 1006E,  15, 1006, LO,
