WP, 26, 2025092218,   , MIWU, 0, 106N, 1374E,  25, 1006, LO, 34, NEQ,   0,   0,   0,   0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Bualoi,
WP, 26, 2025092300,   , MIWU, 0, 105N, 1365E,  25, 1006, LO,
WP, 26, 2025092306,   , MIWU, 0, 103N, 1355E,  30, 1004, TD,
WP, 26, 2025092312,   , MIWU, 0,  99N, 1344E,  35, 1002, TS,
WP, 26, 2025092318,   , MIWU, 0,  96N, 1338E,  40, 1000, TS,
WP, 26, 2025092400,   , MIWU, 0,  95N, 1332E,  45,  998, TS,
WP, 26, 2025092406,   , MIWU, 0,  97N, 1322E,  50,  996, TS,
WP, 26, 2025092412,   , MIWU, 0, 103N, 1313E,  60,  992, TS,
WP, 26, 2025092418,   , MIWU, 0, 108N, 1304E,  65,  989, TY,
WP, 26, 2025092500,   , MIWU, 0, 111N, 1295E,  55,  993, TS,
WP, 26, 2025092506,   , MIWU, 0, 114N, 1283E,  55,  993, TS,
WP, 26, 2025092512,   , MIWU, 0, 118N, 1268E,  60,  990, TS,
WP, 26, 2025092518,   , MIWU, 0, 119N, 1252E,  65,  987, TY,
WP, 26, 2025092600,   , MIWU, 0, 120N, 1228E,  75,  981, TY,
WP, 26, 2025092606,   , MIWU, 0, 125N, 1209E,  55,  989, TS,
WP, 26, 2025092612,   , MIWU, 0, 134N, 1187E,  55,  989, TS,
WP, 26, 2025092618,   , MIWU, 0, 140N, 1171E,  55,  988, TS,
WP, 26, 2025092700,   , MIWU, 0, 146N, 1155E,  55,  988, TS,
WP, 26, 2025092706,   , MIWU, 0, 152N, 1135E,  60,  985, TS,
WP, 26, 2025092712,   , MIWU, 0, 156N, 1120E,  65,  982, TY,
WP, 26, 2025092718,   , MIWU, 0, 160N, 1104E,  60,  984, TS,
WP, 26, 2025092800,   , MIWU, 0, 165N, 1092E,  70,  980, TY,
WP, 26, 2025092806,   , MIWU, 0, 171N, 1082E,  80,  974, TY,
WP, 26, 2025092812,   , MIWU, 0, 175N, 1072E,  90,  966, TY,
WP, 26, 2025092818,   , MIWU, 0, 182N, 1062E,  75,  975, TY,
WP, 26, 2025092900,   , MIWU, 0, 188N, 1051E,  60,  984, TS,
WP, 26, 2025092906,   , MIWU, 0, 198N, 1036E,  45,  993, TS,
WP, 26, 2025092912,   , MIWU, 0, 206N, 1022E,  30, 1002, TD,
WP, 26, 2025092918,   , MIWU, 0, 212N, 1010E,  20, 1006, LO,
WP, 26, 2025093000,   , MIWU, 0, 222N,  998E,  15, 1008, LO,
