WP, 27, 2025093012,   , MIWU, 0, 142N, 1340E,  20, 1010, LO, 34, NEQ,   0,   0,   0,   0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Matmo,
WP, 27, 2025093018,   , MIWU, 0, 145N, 1328E,  25, 1008, LO,
WP, 27, 2025100100,   , MIWU, 0, 145N, 1317E,  30, 1006, TD,
WP, 27, 2025100106,   , MIWU, 0, 143N, 1308E,  30, 1006, TD,
WP, 27, 2025100112,   , MIWU, 0, 143N, 1298E,  35, 1003, TS,
WP, 27, 2025100118,   , MIWU, 0, 144N, 1286E,  40, 1000, TS,
WP, 27, 2025100200,   , MIWU, 0, 147N, 1273E,  40, 1000, TS,
WP, 27, 2025100206,   , MIWU, 0, 151N, 1261E,  45,  998, TS,
WP, 27, 2025100212,   , MIWU, 0, 156N, 1248E,  50,  996, TS,
WP, 27, 2025100218,   , MIWU, 0, 160N, 1237E,  55,  993, TS,
WP, 27, 2025100300,   , MIWU, 0, 165N, 1225E,  65,  987, TY,
WP, 27, 2025100306,   , MIWU, 0, 169N, 1210E,  55,  991, TS,
WP, 27, 2025100312,   , MIWU, 0, 174N, 1194E,  50,  993, TS,
WP, 27, 2025100318,   , MIWU, 0, 179N, 1180E,  55,  990, TS,
WP, 27, 2025100400,   , MIWU, 0, 182N, 1166E,  65,  986, TY,
WP, 27, 2025100406,   , MIWU, 0, 186N, 1153E,  70,  984, TY,
WP, 27, 2025100412,   , MIWU, 0, 192N, 1139E,  75,  981, TY,
WP, 27, 2025100418,   , MIWU, 0, 197N, 1126E,  80,  978, TY,
WP, 27, 2025100500,   , MIWU, 0, 203N, 1116E,  90,  972, TY,
WP, 27, 2025100506,   , MIWU, 0, 208N, 1105E,  95,  969, TY,
WP, 27, 2025100507,   , MIWU, 0, 210N, 1103E,  90,  971, TY,
WP, 27, 2025100512,   , MIWU, 0, 215N, 1093E,  75,  980, TY,
WP, 27, 2025100518,   , MIWU, 0, 219N, 1083E,  60,  989, TS,
WP, 27, 2025100600,   , MIWU, 0, 221N, 1073E,  45,  998, TS,
WP, 27, 2025100606,   , MIWU, 0, 222N, 1064E,  35, 1002, TS,
WP, 27, 2025100612,   , MIWU, 0, 225N, 1058E,  25, 1006, TD,
WP, 27, 2025100618,   , MIWU, 0, 230N, 1056E,  20, 1008, LO,
WP, 27, 2025100700,   , MIWU, 0, 240N, 1054E,  20, 1008, LO,
WP, 27, 2025100706,   , MIWU, 0, 255N, 1053E,  15, 1010, LO,
