WP, 31, 2025103100,   , MIWU, 0,  80N, 1420E,  20, 1008, LO, 34, NEQ,   0,   0,   0,   0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Kalmaegi,
WP, 31, 2025103106,   , MIWU, 0,  86N, 1414E,  20, 1008, LO,
WP, 31, 2025103112,   , MIWU, 0,  91N, 1408E,  25, 1006, LO,
WP, 31, 2025103118,   , MIWU, 0,  94N, 1400E,  30, 1004, TD,
WP, 31, 2025110100,   , MIWU, 0,  94N, 1391E,  30, 1004, TD,
WP, 31, 2025110106,   , MIWU, 0,  97N, 1381E,  35, 1002, TS,
WP, 31, 2025110112,   , MIWU, 0, 100N, 1373E,  40, 1000, TS,
WP, 31, 2025110118,   , MIWU, 0, 104N, 1363E,  45,  997, TS,
WP, 31, 2025110200,   , MIWU, 0, 106N, 1350E,  50,  994, TS,
WP, 31, 2025110206,   , MIWU, 0, 108N, 1336E,  55,  991, TS,
WP, 31, 2025110212,   , MIWU, 0, 110N, 1320E,  60,  988, TS,
WP, 31, 2025110218,   , MIWU, 0, 108N, 1301E,  70,  982, TY,
WP, 31, 2025110300,   , MIWU, 0, 103N, 1287E,  80,  976, TY,
WP, 31, 2025110306,   , MIWU, 0, 104N, 1274E,  90,  970, TY,
WP, 31, 2025110312,   , MIWU, 0, 106N, 1260E, 100,  964, TY,
WP, 31, 2025110318,   , MIWU, 0, 106N, 1245E,  75,  978, TY,
WP, 31, 2025110400,   , MIWU, 0, 104N, 1231E,  60,  987, TS,
WP, 31, 2025110406,   , MIWU, 0, 104N, 1220E,  50,  992, TS,
WP, 31, 2025110412,   , MIWU, 0, 107N, 1210E,  55,  989, TS,
WP, 31, 2025110418,   , MIWU, 0, 110N, 1200E,  65,  983, TY,
WP, 31, 2025110500,   , MIWU, 0, 114N, 1188E,  75,  980, TY,
WP, 31, 2025110506,   , MIWU, 0, 119N, 1175E,  85,  974, TY,
WP, 31, 2025110512,   , MIWU, 0, 125N, 1160E,  95,  966, TY,
WP, 31, 2025110518,   , MIWU, 0, 130N, 1143E, 110,  954, TY,
WP, 31, 2025110600,   , MIWU, 0, 130N, 1123E, 130,  935, ST,
WP, 31, 2025110603,   , MIWU, 0, 131N, 1115E, 130,  934, ST,
WP, 31, 2025110606,   , MIWU, 0, 134N, 1106E, 120,  934, TY,
WP, 31, 2025110611,   , MIWU, 0, 138N, 1092E, 105,  946, TY,
WP, 31, 2025110612,   , MIWU, 0, 138N, 1090E,  85,  962, TY,
WP, 31, 2025110618,   , MIWU, 0, 140N, 1077E,  50,  986, TS,
WP, 31, 2025110700,   , MIWU, 0, 143N, 1065E,  30,  998, TD,
WP, 31, 2025110706,   , MIWU, 0, 147N, 1055E,  20, 1004, LO,
WP, 31, 2025110712,   , MIWU, 0, 152N, 1045E,  15, 1007, LO,
WP, 31, 2025110718,   , MIWU, 0, 159N, 1037E,  10, 1010, LO,
