WP, 32, 2025110300,   , MIWU, 0,  80N, 1482E,  25, 1003, LO, 34, NEQ,   0,   0,   0,   0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Fung-wong,
WP, 32, 2025110306,   , MIWU, 0,  86N, 1475E,  25, 1003, LO,
WP, 32, 2025110312,   , MIWU, 0,  89N, 1468E,  25, 1003, LO,
WP, 32, 2025110318,   , MIWU, 0,  90N, 1460E,  25, 1003, LO,
WP, 32, 2025110400,   , MIWU, 0,  94N, 1452E,  25, 1003, LO,
WP, 32, 2025110406,   , MIWU, 0,  96N, 1444E,  30, 1000, TD,
WP, 32, 2025110412,   , MIWU, 0,  92N, 1436E,  30, 1000, TD,
WP, 32, 2025110418,   , MIWU, 0,  85N, 1433E,  30, 1000, TD,
WP, 32, 2025110500,   , MIWU, 0,  82N, 1433E,  30, 1000, TD,
WP, 32, 2025110506,   , MIWU, 0,  82N, 1431E,  30, 1000, TD,
WP, 32, 2025110512,   , MIWU, 0,  85N, 1429E,  30, 1000, TD,
WP, 32, 2025110518,   , MIWU, 0,  91N, 1422E,  35,  997, TS,
WP, 32, 2025110600,   , MIWU, 0,  97N, 1410E,  40,  994, TS,
WP, 32, 2025110606,   , MIWU, 0, 101N, 1399E,  45,  991, TS,
WP, 32, 2025110612,   , MIWU, 0, 103N, 1390E,  50,  988, TS,
WP, 32, 2025110618,   , MIWU, 0, 106N, 1385E,  50,  988, TS,
WP, 32, 2025110700,   , MIWU, 0, 112N, 1378E,  55,  984, TS,
WP, 32, 2025110706,   , MIWU, 0, 117N, 1366E,  60,  980, TS,
WP, 32, 2025110712,   , MIWU, 0, 120N, 1353E,  65,  976, TY,
WP, 32, 2025110718,   , MIWU, 0, 123N, 1340E,  70,  972, TY,
WP, 32, 2025110800,   , MIWU, 0, 126N, 1323E,  80,  964, TY,
WP, 32, 2025110806,   , MIWU, 0, 129N, 1303E,  90,  955, TY,
WP, 32, 2025110812,   , MIWU, 0, 133N, 1285E, 105,  942, TY,
WP, 32, 2025110818,   , MIWU, 0, 137N, 1267E, 115,  938, TY,
WP, 32, 2025110900,   , MIWU, 0, 142N, 1248E, 115,  936, TY,
WP, 32, 2025110906,   , MIWU, 0, 149N, 1235E, 110,  940, TY,
WP, 32, 2025110912,   , MIWU, 0, 160N, 1221E,  90,  956, TY,
WP, 32, 2025110918,   , MIWU, 0, 165N, 1204E,  65,  971, TY,
WP, 32, 2025111000,   , MIWU, 0, 167N, 1195E,  50,  982, TS,
WP, 32, 2025111006,   , MIWU, 0, 172N, 1187E,  60,  978, TS,
WP, 32, 2025111012,   , MIWU, 0, 180N, 1184E,  75,  972, TY,
WP, 32, 2025111018,   , MIWU, 0, 186N, 1183E,  70,  975, TY,
WP, 32, 2025111100,   , MIWU, 0, 193N, 1183E,  65,  978, TY,
WP, 32, 2025111106,   , MIWU, 0, 200N, 1185E,  55,  984, TS,
WP, 32, 2025111112,   , MIWU, 0, 208N, 1189E,  50,  988, TS,
WP, 32, 2025111118,   , MIWU, 0, 213N, 1192E,  45,  992, TS,
WP, 32, 2025111200,   , MIWU, 0, 216N, 1196E,  45,  992, SS,
WP, 32, 2025111206,   , MIWU, 0, 218N, 1201E,  45,  992, SS,
WP, 32, 2025111212,   , MIWU, 0, 222N, 1207E,  40,  996, SS,
WP, 32, 2025111218,   , MIWU, 0, 232N, 1216E,  30, 1004, SD,
WP, 32, 2025111300,   , MIWU, 0, 244N, 1227E,  35, 1002, EX,
WP, 32, 2025111306,   , MIWU, 0, 254N, 1242E,  45,  996, EX,
WP, 32, 2025111312,   , MIWU, 0, 258N, 1264E,  50,  993, EX,
WP, 32, 2025111318,   , MIWU, 0, 260N, 1284E,  40,  999, EX,
WP, 32, 2025111400,   , MIWU, 0, 259N, 1304E,  30, 1004, EX,
WP, 32, 2025111406,   , MIWU, 0, 255N, 1318E,  20, 1010, EX,
